Salary (USD),Job title_Bin,Industry,Country,Race_Bin,Age,Gender_Bin,Highest level of education completed,Experience
55000.0,Non-Managerial Employee,education,USA,White,25-34,Woman,Master's degree,5
77416.09668,Management,tech,UK,White,25-34,Other,College degree,8
34000.0,Non-Managerial Employee,finance,USA,White,25-34,Woman,College degree,2
65000.0,Management,nonprofit,USA,White,25-34,Woman,College degree,8
67000.0,Management,finance,USA,White,25-34,Woman,College degree,8
62000.0,Non-Managerial Employee,education,USA,White,25-34,Man,Master's degree,8
35000.0,Non-Managerial Employee,education,USA,White,25-34,Woman,College degree,2
50000.0,Non-Managerial Employee,education,USA,White,25-34,Man,Master's degree,5
122000.0,Non-Managerial Employee,tech,USA,White,45-54,Woman,College degree,21
45000.0,Non-Managerial Employee,finance,USA,Mixed Race,35-44,Woman,College degree,21
47500.0,Management,nonprofit,USA,White,25-34,Woman,College degree,5
62000.0,Director,education,USA,Mixed Race,35-44,Woman,PhD,11
100000.0,Management,finance,USA,Mixed Race,35-44,Man,College degree,11
25172.50976,Non-Managerial Employee,healthcare,Canada,White,18-24,Woman,College degree,0
32366.798100000004,Non-Managerial Employee,property,UK,White,35-44,Man,College degree,11
90000.0,Non-Managerial Employee,business,USA,White,35-44,Woman,Some college,8
59000.0,Non-Managerial Employee,business,USA,White,45-54,Woman,College degree,21
99000.0,Management,business,USA,White,35-44,Woman,Master's degree,11
54000.0,Director,education,USA,White,35-44,Woman,Master's degree,11
74000.0,Non-Managerial Employee,healthcare,USA,White,25-34,Woman,Master's degree,5
50000.0,Non-Managerial Employee,nonprofit,USA,White,35-44,Woman,PhD,5
49558.37859,Non-Managerial Employee,nonprofit,Canada,White,35-44,Woman,Master's degree,11
97000.0,Non-Managerial Employee,government,USA,Asian or Asian American,35-44,Woman,PhD,8
60000.0,Non-Managerial Employee,education,USA,White,35-44,Woman,Master's degree,11
62000.0,Director,nonprofit,USA,White,25-34,Man,College degree,5
52000.0,Management,nonprofit,USA,Mixed Race,35-44,Woman,College degree,11
140000.0,Non-Managerial Employee,government,USA,White,35-44,Woman,Master's degree,11
80000.0,Non-Managerial Employee,manufacturing,USA,White,25-34,Woman,College degree,5
39000.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,College degree,2
125000.0,Non-Managerial Employee,"tech,business",USA,White,35-44,Woman,Master's degree,11
230000.0,Non-Managerial Employee,finance,USA,White,25-34,Woman,College degree,11
125000.0,Management,finance,USA,White,35-44,Woman,College degree,21
50000.0,Management,nonprofit,USA,White,25-34,Woman,College degree,5
68000.0,Non-Managerial Employee,education,USA,White,35-44,Woman,Master's degree,5
41100.0,Non-Managerial Employee,"tech,business",USA,White,18-24,Woman,College degree,2
86000.0,Non-Managerial Employee,finance,USA,White,25-34,Woman,College degree,5
78000.0,Management,government,USA,White,35-44,Woman,Master's degree,8
37000.0,Non-Managerial Employee,finance,USA,White,25-34,Woman,College degree,2
150000.0,Non-Managerial Employee,manufacturing,USA,White,45-54,Woman,College degree,21
54164.8458,Non-Managerial Employee,business,UK,White,35-44,Woman,College degree,11
65000.0,Management,government,USA,White,25-34,Man,College degree,5
192500.0,Non-Managerial Employee,tech,USA,White,25-34,Woman,College degree,8
130000.0,Non-Managerial Employee,tech,USA,White,25-34,Man,Master's degree,8
68125.0,Management,nonprofit,USA,Mixed Race,25-34,Woman,College degree,8
147100.0,Non-Managerial Employee,tech,USA,White,35-44,Woman,PhD,5
240850.0,Director,tech,USA,White,35-44,Woman,College degree,11
95576.872995,Non-Managerial Employee,manufacturing,Canada,White,25-34,Woman,College degree,11
84563.89997500001,Management,service,Canada,White,25-34,Woman,College degree,8
96000.0,Non-Managerial Employee,education,USA,White,35-44,Woman,PhD,5
54000.0,Non-Managerial Employee,education,USA,White,25-34,Woman,Master's degree,5
105000.0,Management,business,USA,White,25-34,Woman,College degree,8
75000.0,Management,tech,USA,White,35-44,Woman,Master's degree,11
40905.32836,Non-Managerial Employee,"tech,business",Canada,Asian or Asian American,35-44,Woman,College degree,11
106000.0,Non-Managerial Employee,manufacturing,USA,White,35-44,Woman,Master's degree,21
115000.0,Non-Managerial Employee,government,USA,"Hispanic, Latino, or Spanish origin",25-34,Woman,PhD,5
103500.0,Non-Managerial Employee,business,USA,White,25-34,Woman,College degree,11
33200.0,Non-Managerial Employee,business,USA,White,25-34,Woman,Some college,8
68696.8776,Non-Managerial Employee,government,UK,White,35-44,Woman,Master's degree,11
52000.0,Non-Managerial Employee,education,USA,White,25-34,Woman,College degree,8
62144.63347,Non-Managerial Employee,government,Canada,White,25-34,Woman,Master's degree,8
129000.0,Director,property,USA,White,65 or over,Man,College degree,41
58998.06975,Non-Managerial Employee,education,Canada,Asian or Asian American,25-34,Woman,College degree,5
52000.0,Non-Managerial Employee,science,USA,White,18-24,Woman,College degree,2
70000.0,Non-Managerial Employee,education,USA,White,25-34,Other,Master's degree,5
92400.0,Management,nonprofit,USA,White,25-34,Woman,Master's degree,5
